Year,Month,Gas_Index,Electricity_Index,Month_Num,Date
2019,October,120.97625329815304,160.30729833546738,10,2019-10-01
2019,November,120.97625329815304,160.30729833546738,11,2019-11-01
2019,December,120.97625329815304,160.30729833546738,12,2019-12-01
2020,January,120.97625329815304,160.30729833546738,1,2020-01-01
2020,February,120.97625329815304,160.30729833546738,2,2020-02-01
2020,March,120.97625329815304,160.30729833546738,3,2020-03-01
2020,April,116.62269129287598,160.56338028169014,4,2020-04-01
2020,May,116.75461741424802,160.56338028169014,5,2020-05-01
2020,June,116.75461741424802,160.56338028169014,6,2020-06-01
2020,July,116.62269129287598,160.43533930857876,7,2020-07-01
2020,August,116.62269129287598,160.43533930857876,8,2020-08-01
2020,September,116.62269129287598,160.43533930857876,9,2020-09-01
2020,October,102.37467018469655,155.18565941101156,10,2020-10-01
2020,November,102.37467018469655,155.18565941101156,11,2020-11-01
2020,December,102.37467018469655,155.18565941101156,12,2020-12-01
2021,January,102.37467018469655,155.18565941101156,1,2021-01-01
2021,February,102.37467018469655,155.18565941101156,2,2021-02-01
2021,March,102.37467018469655,155.18565941101156,3,2021-03-01
2021,April,112.0052770448549,169.39820742637644,4,2021-04-01
2021,May,112.0052770448549,169.39820742637644,5,2021-05-01
2021,June,112.0052770448549,169.39820742637644,6,2021-06-01
2021,July,112.0052770448549,169.6542893725993,7,2021-07-01
2021,August,112.0052770448549,169.6542893725993,8,2021-08-01
2021,September,112.0052770448549,169.6542893725993,9,2021-09-01
2021,October,131.13456464379948,184.3790012804097,10,2021-10-01
2021,November,131.13456464379948,184.3790012804097,11,2021-11-01
2021,December,131.13456464379948,184.3790012804097,12,2021-12-01
2022,January,131.2664907651715,185.0192061459667,1,2022-01-01
2022,February,131.2664907651715,185.0192061459667,2,2022-02-01
2022,March,131.2664907651715,185.0192061459667,3,2022-03-01
2022,April,218.86543535620052,260.17925736235594,4,2022-04-01
2022,May,218.86543535620052,260.17925736235594,5,2022-05-01
2022,June,218.86543535620052,260.17925736235594,6,2022-06-01
2022,July,219.1292875989446,261.3316261203585,7,2022-07-01
2022,August,219.1292875989446,261.3316261203585,8,2022-08-01
2022,September,219.1292875989446,261.3316261203585,9,2022-09-01
2022,October,300.0,305.50576184379,10,2022-10-01
2022,November,300.0,304.86555697823303,11,2022-11-01
2022,December,300.0,304.86555697823303,12,2022-12-01
2023,January,301.05540897097626,308.4507042253521,1,2023-01-01
2023,February,301.05540897097626,308.4507042253521,2,2023-02-01
2023,March,301.05540897097626,308.4507042253521,3,2023-03-01
2023,April,298.0211081794196,305.12163892445585,4,2023-04-01
2023,May,298.0211081794196,305.12163892445585,5,2023-05-01
2023,June,298.0211081794196,305.12163892445585,6,2023-06-01
2023,July,222.8232189973615,278.7451984635083,7,2023-07-01
2023,August,222.8232189973615,278.7451984635083,8,2023-08-01
2023,September,222.8232189973615,278.7451984635083,9,2023-09-01
2023,October,207.1240105540897,257.8745198463509,10,2023-10-01
2023,November,207.1240105540897,257.8745198463509,11,2023-11-01
2023,December,207.1240105540897,257.8745198463509,12,2023-12-01
2024,January,221.2401055408971,268.37387964148525,1,2024-01-01
2024,February,221.2401055408971,268.37387964148525,2,2024-02-01
2024,March,221.2401055408971,268.37387964148525,3,2024-03-01
2024,April,186.4116094986808,240.8450704225352,4,2024-04-01
2024,May,186.4116094986808,240.8450704225352,5,2024-05-01
2024,June,186.4116094986808,240.8450704225352,6,2024-06-01
2024,July,171.8997361477573,224.4558258642766,7,2024-07-01
2024,August,171.8997361477573,224.4558258642766,8,2024-08-01
2024,September,171.8997361477573,224.4558258642766,9,2024-09-01
2024,October,191.95250659630608,241.741357234315,10,2024-10-01
2024,November,191.95250659630608,241.741357234315,11,2024-11-01
2024,December,191.95250659630608,241.99743918053775,12,2024-12-01
