msoa_id,ring_id,order,x,y,Eligible,Borough
E02000984,E02000984_0,77,371069.99700000044,412699.89020000026,0,Bolton
E02000984,E02000984_0,78,371071.04200000037,412733.25,0,Bolton
E02000984,E02000984_0,79,371015.517,412851.73000000045,0,Bolton
E02000984,E02000984_0,80,371074.7110000001,412899.9179999996,0,Bolton
E02000984,E02000984_0,81,371114.5920000002,412933.15699999966,0,Bolton
E02000984,E02000984_0,82,371149.9210000001,412879.33999999985,0,Bolton
E02000984,E02000984_0,83,371201.2999999998,412919.5800000001,0,Bolton
E02000984,E02000984_0,84,371277.98500000034,413028.39800000004,0,Bolton
E02000984,E02000984_0,85,371186.892,413057.8990000002,0,Bolton
E02000984,E02000984_0,86,371173.45600000024,413091.2550000008,0,Bolton
E02000984,E02000984_0,87,371260.3660000004,413204.72399999946,0,Bolton
E02000984,E02000984_0,88,371146.00100000016,413306.0,0,Bolton
E02000984,E02000984_0,89,371114.0,413387.0,0,Bolton
E02000984,E02000984_0,90,371127.45799999963,413518.8499999996,0,Bolton
E02000984,E02000984_0,91,371161.8119999999,413425.18700000085,0,Bolton
E02000984,E02000984_0,92,371265.56900000013,413364.64499999955,0,Bolton
E02000984,E02000984_0,93,371356.0939999996,413227.0,0,Bolton
E02000984,E02000984_0,94,371554.4160000002,413200.3300000001,0,Bolton
E02000984,E02000984_0,95,371827.5650000004,413132.1300000008,0,Bolton
E02000984,E02000984_0,96,371856.8770000003,413241.13299999945,0,Bolton
E02000984,E02000984_0,97,371950.534,413223.8920000009,0,Bolton
E02000984,E02000984_0,98,371977.91199999955,413316.0639999993,0,Bolton
E02000984,E02000984_0,99,371860.125,413348.7440000009,0,Bolton
E02000984,E02000984_0,100,371839.98599999957,413329.98929999955,0,Bolton
E02000984,E02000984_0,101,371760.38999999966,413387.03649999946,0,Bolton
E02000984,E02000984_0,102,371725.1950000003,413510.06599999964,0,Bolton
E02000984,E02000984_0,103,371745.1229999997,413535.6030000001,0,Bolton
E02000984,E02000984_0,104,371740.6749999998,413536.2100000009,0,Bolton
E02000984,E02000984_0,105,371702.51099999994,413657.99599999934,0,Bolton
E02000984,E02000984_0,106,371738.77300000004,413633.2320000008,0,Bolton
E02000984,E02000984_0,107,371774.5007999996,413661.7826000005,0,Bolton
E02000984,E02000984_0,108,371835.0,413619.0,0,Bolton
E02000984,E02000984_0,109,371854.1629999997,413643.24899999984,0,Bolton
E02000984,E02000984_0,110,371945.95999999996,413597.42200000025,0,Bolton
E02000984,E02000984_0,111,372009.04899999965,413635.2170000002,0,Bolton
E02000984,E02000984_0,112,372014.1009999998,413576.2520000003,0,Bolton
E02000984,E02000984_0,113,371985.14499999955,413550.9419999998,0,Bolton
E02000984,E02000984_0,114,372036.0,413527.0,0,Bolton
E02000984,E02000984_0,115,372081.0,413498.0,0,Bolton
E02000984,E02000984_0,116,372088.7980000004,413526.1919999998,0,Bolton
E02000984,E02000984_0,117,372125.2429999998,413511.74899999984,0,Bolton
E02000984,E02000984_0,118,372119.26300000027,413596.52899999917,0,Bolton
E02000984,E02000984_0,119,372147.04899999965,413614.30700000003,0,Bolton
E02000984,E02000984_0,120,372139.22449999955,413644.1150000002,0,Bolton
E02000984,E02000984_0,121,372216.0580000002,413676.0329999998,0,Bolton
E02000984,E02000984_0,122,372127.1009999998,413793.2280000001,0,Bolton
E02000984,E02000984_0,123,372089.8490000004,413776.2949999999,0,Bolton
E02000984,E02000984_0,124,372111.0049999999,413824.8599999994,0,Bolton
E02000984,E02000984_0,125,372148.0,413863.0,0,Bolton
E02000984,E02000984_0,126,372183.33800000045,413818.7899999991,0,Bolton
E02000984,E02000984_0,127,372225.0,413914.0,0,Bolton
E02000984,E02000984_0,128,372117.31099999975,414028.0639999993,0,Bolton
E02000984,E02000984_0,129,372076.45299999975,414169.25400000066,0,Bolton
E02000984,E02000984_0,130,372121.60699999984,414316.79099999927,0,Bolton
E02000984,E02000984_0,131,371949.2410000004,414454.1649999991,0,Bolton
E02000984,E02000984_0,132,371899.6869999999,414525.31200000085,0,Bolton
E02000984,E02000984_0,133,371932.0,414712.9059999995,0,Bolton
E02000984,E02000984_0,134,371919.3119999999,415470.31200000085,0,Bolton
E02000984,E02000984_0,135,371628.1869999999,415848.0940000005,0,Bolton
E02000984,E02000984_0,136,371493.3119999999,416181.81200000085,0,Bolton
E02000984,E02000984_0,137,371122.8030000003,416674.3289999999,0,Bolton
