Borough,x,y,xend,yend
Bolton,375847.25,411758.3440000005,375966.5939999996,411887.0
Bolton,375934.3119999999,412028.8120000009,375966.5939999996,411887.0
Bolton,375934.3119999999,412028.8120000009,376030.5,412225.8120000009
Bolton,376011.4060000004,412295.8120000009,376030.5,412225.8120000009
Bolton,376011.4060000004,412295.8120000009,376035.8130000001,412418.0
Bolton,375977.0939999996,412561.8120000009,376035.8130000001,412418.0
Bolton,375977.0939999996,412561.8120000009,376080.07100000046,412702.4759999998
Bolton,375710.0089999996,413282.04399999976,376080.07100000046,412702.4759999998
Bolton,375658.9380000001,413253.5449999999,375710.0089999996,413282.04399999976
Bolton,375352.4060000004,413355.0,375658.9380000001,413253.5449999999
Bolton,375288.8439999996,413455.3120000009,375352.4060000004,413355.0
Bolton,375210.3499999996,413505.75100000016,375288.8439999996,413455.3120000009
Bolton,375210.3499999996,413505.75100000016,375296.2010000004,413567.2440000009
Bolton,375269.06400000025,413609.1079999991,375296.2010000004,413567.2440000009
Bolton,375228.5020000003,413587.3479999993,375269.06400000025,413609.1079999991
Bolton,375122.59300000034,413842.5580000002,375228.5020000003,413587.3479999993
Bolton,375004.807,413820.9940000009,375122.59300000034,413842.5580000002
Bolton,374987.9060000004,413875.1870000009,375004.807,413820.9940000009
Bolton,374987.9060000004,413875.1870000009,375174.4479999999,413916.4370000009
Bolton,375147.5599999996,413993.1620000005,375174.4479999999,413916.4370000009
Bolton,375147.5599999996,413993.1620000005,375207.40199999977,414011.1879999992
Bolton,375176.68599999975,414013.5580000002,375207.40199999977,414011.1879999992
Bolton,375096.5839999998,414146.0535000004,375176.68599999975,414013.5580000002
Bolton,374739.40699999966,414404.8110000007,375096.5839999998,414146.0535000004
Bolton,374739.40699999966,414404.8110000007,374891.5939999996,414602.6870000009
Bolton,374891.5939999996,414602.6870000009,375025.4060000004,414563.6870000009
Bolton,375025.40299999993,414992.0940000005,375025.4060000004,414563.6870000009
Bolton,366280.5899999999,414615.7139999997,366342.3099999996,414548.40300000086
Bolton,365358.7810000004,413697.7190000005,366280.5899999999,414615.7139999997
Bolton,365078.5,413515.0940000005,365358.7810000004,413697.7190000005
Bolton,365059.9060000004,413449.1870000009,365078.5,413515.0940000005
Bolton,364962.2189999996,413345.0,365059.9060000004,413449.1870000009
Bolton,364804.3119999999,413299.12399999984,364962.2189999996,413345.0
Bolton,364740.6940000001,413242.0960000008,364804.3119999999,413299.12399999984
Bolton,364560.40699999966,413039.807,364740.6940000001,413242.0960000008
Bolton,364499.9060000004,412884.7809999995,364560.40699999966,413039.807
Bolton,364293.9689999996,412767.3000000008,364499.9060000004,412884.7809999995
Bolton,368397.9060000004,413492.9059999995,368805.7189999996,413439.75
Bolton,367574.6469999999,413961.182,368397.9060000004,413492.9059999995
Bolton,366507.6869999999,414440.0,367574.6469999999,413961.182
Bolton,366342.3099999996,414548.40300000086,366507.6869999999,414440.0
Bolton,360963.50100000016,412655.0960000008,361067.0,412619.7809999995
Bolton,360963.50100000016,412655.0960000008,360982.50100000016,412703.9059999995
