msoa21cd,Year,COPD_Rate,Eligible,Income_Score,Num_Upgrades,Avg_EPC,Treatment_Group,Post_Policy
E02001045,2015,339.9407063994961,1,0.304,336,63.229166666666664,1,0
E02001045,2016,319.3766497702787,1,0.304,217,62.53917050691244,1,0
E02001045,2017,344.8300782893477,1,0.304,167,63.862275449101794,1,0
E02001045,2018,373.1783920329107,1,0.304,138,63.594202898550726,1,0
E02001045,2019,316.2712399320999,1,0.304,135,64.75555555555556,1,1
E02001045,2020,332.46449162893975,1,0.304,219,70.98173515981735,1,1
E02001045,2021,391.1906218838457,1,0.304,151,65.71523178807946,1,1
E02001045,2022,364.9008313748978,1,0.304,176,68.75,1,1
E02001045,2023,324.84298544276675,1,0.304,220,72.03636363636363,1,1
E02001045,2024,357.6181657379507,1,0.304,221,71.85972850678733,1,1
E02001046,2015,219.28054967019352,1,0.32075,492,65.59349593495935,1,0
E02001046,2016,219.22738702371188,1,0.32075,379,63.736147757255935,1,0
E02001046,2017,235.4997885267262,1,0.32075,194,68.4381443298969,1,0
E02001046,2018,185.94296110083158,1,0.32075,230,69.3,1,0
E02001046,2019,190.27409482797168,1,0.32075,190,65.48947368421052,1,1
E02001046,2020,228.5039842218942,1,0.32075,166,65.81927710843374,1,1
E02001046,2021,218.144356094856,1,0.32075,246,67.44715447154472,1,1
E02001046,2022,248.65869375170936,1,0.32075,245,69.04897959183674,1,1
E02001046,2023,220.554249456614,1,0.32075,217,70.36866359447005,1,1
E02001046,2024,208.95903536690284,1,0.32075,212,71.33490566037736,1,1
E02001047,2015,259.1821369863486,1,0.2575,416,67.75,1,0
E02001047,2016,220.9473041498718,1,0.2575,196,62.45918367346939,1,0
E02001047,2017,227.57748181979096,1,0.2575,147,66.8639455782313,1,0
E02001047,2018,193.84442477582618,1,0.2575,161,66.99378881987577,1,0
E02001047,2019,213.74517407383578,1,0.2575,180,67.85,1,1
E02001047,2020,239.86096623265047,1,0.2575,261,68.25287356321839,1,1
E02001047,2021,211.3352250830111,1,0.2575,292,71.52739726027397,1,1
E02001047,2022,245.84624127450573,1,0.2575,271,71.50922509225093,1,1
E02001047,2023,223.7760523505164,1,0.2575,182,70.67032967032966,1,1
E02001047,2024,230.759783616548,1,0.2575,219,70.32420091324201,1,1
E02001048,2015,136.6481784043005,1,0.20800000000000002,345,58.30724637681159,1,0
E02001048,2016,172.32833207374094,1,0.20800000000000002,328,57.35060975609756,1,0
E02001048,2017,145.20055467142237,1,0.20800000000000002,170,64.95294117647059,1,0
E02001048,2018,130.01802156047847,1,0.20800000000000002,161,66.61490683229813,1,0
E02001048,2019,157.35633980760852,1,0.20800000000000002,153,64.11111111111111,1,1
E02001048,2020,134.91596399938933,1,0.20800000000000002,188,65.40957446808511,1,1
E02001048,2021,155.70344983501874,1,0.20800000000000002,170,66.3,1,1
E02001048,2022,124.1736634932277,1,0.20800000000000002,180,67.65,1,1
E02001048,2023,133.35523986855247,1,0.20800000000000002,235,68.80425531914894,1,1
E02001048,2024,155.52893937394157,1,0.20800000000000002,207,68.07246376811594,1,1
E02001049,2015,153.88845440195064,1,0.18483333333333332,404,67.09158415841584,1,0
E02001049,2016,145.76160686305536,1,0.18483333333333332,195,60.69230769230769,1,0
